Neighborhood,LivabilityScore
Blmngtn,0.5977058823529412
Blueste,0.6000000000000001
BrDale,0.5783125
BrkSide,0.46163793103448275
ClearCr,0.4038214285714286
CollgCr,0.5299733333333333
Crawfor,0.4125686274509804
Edwards,0.47836
Gilbert,0.5275316455696202
IDOTRR,0.4753783783783783
MeadowV,0.4919411764705882
Mitchel,0.5057959183673469
NAmes,0.4683866666666667
NPkVill,0.5772222222222223
NWAmes,0.4949315068493151
NoRidge,0.5225609756097561
NridgHt,0.5663116883116883
OldTown,0.49559292035398234
SWISU,0.42560000000000003
Sawyer,0.4648243243243243
SawyerW,0.517186440677966
Somerst,0.5643720930232559
StoneBr,0.54972
Timber,0.5236052631578947
Veenker,0.46836363636363637
