Neighborhood,LivabilityScore,GreenSpace,Cost
Beauchief & Greenhill Ward,0.4009,No,526
Beighton Ward,0.4651,Yes,1249
Birley Ward,0.3688,Yes,366
Broomhill & Sharrow Vale Ward,0.7542,Yes,437
Burngreave Ward,0.1,Yes,913
City Ward,0.3688,Yes,381
Crookes & Crosspool Ward,0.6899,Yes,1422
Darnall Ward,0.1761,Yes,620
Dore & Totley Ward,0.9148,Yes,1362
East Ecclesfield Ward,0.4972,Yes,429
Ecclesall Ward,0.8827,Yes,1644
Firth Park Ward,0.1118,Yes,617
Fulwood Ward,0.8827,Yes,761
Gleadless Valley Ward,0.2403,No,580
Graves Park Ward,0.5615,Yes,450
Hillsborough Ward,0.4972,Yes,732
Manor Castle Ward,0.1118,No,897
Mosborough Ward,0.5294,Yes,533
Nether Edge & Sharrow Ward,0.4651,No,707
Park & Arbourthorne Ward,0.144,No,650
Richmond Ward,0.3367,Yes,488
Shiregreen & Brightside,0.1118,No,433
Southey Ward,0.144,Yes,1011
Stannington Ward,0.5615,Yes,600
Stocksbridge & Upper Don Ward,0.5294,No,654
Walkley Ward,0.5936,Yes,604
West Ecclesfield Ward,0.4651,Yes,580
Woodhouse Ward,0.3688,Yes,381
